así "a-s\9500\161"
bestias "bes-tias"
celebro "ce-le-bro"
demasiado "de-ma-sia-do"
dormir "dor-mir"
enflaquece "en-fla-que-ce"
fermosura "fer-mo-su-ra"
hace "ha-ce"
hicieron "hi-cie-ron"
hombres "hom-bres"
leer "le-er"
manera "ma-ne-ra"
mucho "mu-cho"
para "pa-ra"
pero "pe-ro"
poco "po-co"
quejo "que-jo"
razón "ra-z\9500\9474n"
secó "se-c\9500\9474"
sienten "sien-ten"
sino "si-no"
sinrazón "sin-ra-z\9500\9474n"
tristezas "tris-te-zas"
vuelven "vuel-ven"
vuestra "vues-tra"
